PERSONID,CASE,NHOODBUR,NHOODRES,XRESID,YRESID,B_MINOR,B_ADULT,B_NATIVE,B_FOREIGN
1,285,5182916,5182916,81017.2969,453945.5,0,1,1,0
2,1027,5182110,5181840,76436.1016,452959.6875,0,1,0,1
2,1028,5183284,5181840,76436.1016,452959.6875,0,1,0,1
3,379,5180373,5182814,81120.5469,454567.0625,0,1,1,0
4,40,5182245,5183489,78901.3516,452080.75,0,1,1,0
4,301,5182666,5183489,78901.3516,452080.75,0,1,1,0
4,302,5182569,5183489,78901.3516,452080.75,0,1,1,0
4,752,5183130,5183489,78901.3516,452080.75,0,1,1,0
4,822,5183639,5183489,78901.3516,452080.75,0,1,1,0
4,967,5181252,5183489,78901.3516,452080.75,0,1,1,0
5,378,5181250,5182718,81784,454251.1875,0,1,1,0
6,296,5182568,5182569,84537.75,456521.1875,0,1,1,0
6,297,5180476,5182569,84537.75,456521.1875,0,1,1,0
6,362,5182666,5182569,84537.75,456521.1875,0,1,1,0
6,363,5182666,5182569,84537.75,456521.1875,0,1,1,0
6,1100,5181492,5182569,84537.75,456521.1875,0,1,1,0
7,369,5182664,5182664,82549.8984,455167.25,0,1,0,1
8,682,5183398,5183398,78242.5,450399.9375,0,1,0,1
9,143,5183034,5182916,81017.2969,453945.5,0,1,0,1
10,452,5180702,5183637,79862.7031,451844.1563,0,1,1,0
10,454,5180701,5183637,79862.7031,451844.1563,0,1,1,0
11,334,5182666,5182567,83971.75,456043.3125,0,1,1,0
12,436,5180907,5180703,78995.75,458551.4375,0,1,1,0
12,1015,5181251,5180703,78995.75,458551.4375,0,1,1,0
13,203,5183721,5183823,81270.3984,452117.3438,0,1,1,0
13,204,5182915,5183823,81270.3984,452117.3438,0,1,1,0
13,293,5182718,5183823,81270.3984,452117.3438,0,1,1,0
13,647,5183638,5183823,81270.3984,452117.3438,0,1,1,0
13,834,5183638,5183823,81270.3984,452117.3438,0,1,1,0
13,835,5183638,5183823,81270.3984,452117.3438,0,1,1,0
13,1122,5183721,5183823,81270.3984,452117.3438,0,1,1,0
14,287,5182917,5183620,80746.5,451964.75,0,1,0,1
15,303,5182449,5183823,81270.3984,452117.3438,0,1,1,0
16,12,5180546,5182915,80407.9531,453804.25,0,1,0,1
17,473,5181309,5183824,81650.7969,452478.25,0,1,1,0
18,63,5180546,5182110,79695.7031,454606.0938,0,1,0,1
18,1107,5183639,5182110,79695.7031,454606.0938,0,1,0,1
19,603,5183822,5183826,82782.2031,453355.3125,0,1,0,1
20,954,5182144,5182245,80204.7969,455380.5938,0,1,0,1
20,955,5182144,5182245,80204.7969,455380.5938,0,1,0,1
20,956,5182144,5182245,80204.7969,455380.5938,0,1,0,1
20,957,5182144,5182245,80204.7969,455380.5938,0,1,0,1
20,958,5182144,5182245,80204.7969,455380.5938,0,1,0,1
21,13,5182245,5182718,81784,454251.1875,0,1,0,1
21,283,5182763,5182718,81784,454251.1875,0,1,0,1
21,335,5182666,5182718,81784,454251.1875,0,1,0,1
21,355,5180479,5182718,81784,454251.1875,0,1,0,1
21,356,5182449,5182718,81784,454251.1875,0,1,0,1
21,1020,5182110,5182718,81784,454251.1875,0,1,0,1
22,253,5182916,5183721,80569.1016,452847.8438,0,1,0,1
23,460,5180800,5180702,77646.8906,457256.3438,0,1,1,0
24,490,5183826,5183826,82782.2031,453355.3125,0,1,1,0
24,491,5183826,5183826,82782.2031,453355.3125,0,1,1,0
25,144,5183034,5181786,77036.8984,452269.1563,0,1,0,1
26,800,5183131,5183130,78844.8984,453544.6875,0,1,1,0
27,837,5183480,5183638,80465.9531,452385.75,0,1,1,0
27,856,5183637,5183638,80465.9531,452385.75,0,1,1,0
28,1001,5182055,5182144,79417.5469,454981.4063,0,1,1,0
29,973,5182110,5183033,79902.9531,453745.3125,0,1,0,1
30,194,5183033,5182055,78845.75,454514.6563,0,1,0,1
31,670,5183398,5182814,81120.5469,454567.0625,0,1,1,0
32,182,5183033,5182110,79695.7031,454606.0938,0,1,0,1
33,394,5180271,5183398,78242.5,450399.9375,0,1,1,0
34,350,5182665,5180800,77183.8516,456225.8125,0,1,1,0
34,669,5183387,5180800,77183.8516,456225.8125,0,1,1,0
34,723,5183387,5180800,77183.8516,456225.8125,0,1,1,0
35,104,5183033,5183034,80135.25,453357,0,1,1,0
36,1011,5181953,5183637,79862.7031,451844.1563,0,1,1,0
