"NHOODID","RESUNITS","PROPVAL","HOMEOWN","ETNHETERO","RESMOBIL","SINGFAM","X","Y","PROXCITY","SURFACE"
5180271,3.8191,1.978,5.3646,2.0606,3.6739,2.1519,79926.1016,458832,-4.43,0.96
5180373,0.4311,3.5611,6.663,1.9832,3.1938,2.532,80094.5469,457824.1875,-3.41,0.43
5180374,0.4973,3.8028,5.8786,1.7914,2.8753,4.8849,81198.7031,457796.5,-3.23,1.28
5180448,0.7106,3.0725,6.4712,2.585,3.5922,4.0215,81694,456183.5,-1.72,0.3
5180475,1.2098,1.8197,7.4297,2.0912,3.0923,1.4449,82894.5,456883.3438,-2.92,0.3
5180476,1.5456,2.4952,7.1316,1.785,2.7786,0.7555,82240.75,457827.8125,-3.45,0.63
5180477,1.5681,3.2767,7.9818,2.1095,2.5699,5.5643,81531.1484,457271.0625,-2.73,0.67
5180478,0.709,3.3215,6.8655,1.8252,4.6434,4.0104,81765,456775.1563,-2.3,0.56
5180479,1.025,2.3917,6.8378,2.0524,3.1133,2.4543,82218.7969,456533.9063,-2.25,0.25
5180546,3.1533,2.2032,5.148,1.785,3.2409,2.4773,80725.7031,456510.8125,-1.98,0.79
5180605,0.333,2.9513,6.7741,1.7845,3.2853,2.8023,80095.7031,457015.5,-2.65,1.15
5180701,1.5263,0.9937,4.7699,1.3646,3.3667,2.7948,78633.2031,457971.75,-4.22,0.26
5180702,1.2467,0.9285,3.7549,1.4347,2.7803,0.2401,77646.8906,457256.3438,-4.39,0.77
5180703,2.9926,1.3665,6.221,1.7818,3.7098,2.6259,78995.75,458551.4375,-4.52,0.56
5180704,1.9247,1.2311,4.4839,1.5743,3.0839,1.6686,79209.1016,457792.3125,-3.75,0.27
5180772,0.8133,1.6885,5.3359,1.8589,2.8315,3.2347,79511.5,458335,-4.1,0.24
5180800,3.0875,0.6066,2.1929,1.2604,2.8413,1.9579,77183.8516,456225.8125,-4.27,1.6
5180907,4.4566,2.3233,7.0203,1.8308,3.3805,3.3227,79029.2031,456776,-3.04,1.05
5180908,2.2516,1.1747,5.323,1.2308,2.0058,2.179,78450.1016,456681.9375,-3.41,0.33
5181041,0.282,3.4288,7.0217,1.9102,3.3592,1.9959,79789.7031,456356.1875,-2.23,0.99
5181142,0.8855,1.4578,5.4619,2.1405,4.0852,1.3749,78979.3516,455669.0625,-2.41,0.27
5181143,2.6356,1.7336,5.9717,2.3599,3.9854,1.6234,79451.5,455426.1875,-1.88,0.42
5181250,1.0039,1.5073,8.7542,1.4296,2.0282,3.6555,77359.6016,454508.3125,-3.76,0.3
5181251,3.356,1.0665,5.9825,1.7604,2.2372,0.7254,77820.1016,454952.3438,-3.32,0.64
5181252,3.0914,1.1105,6.2606,2.0358,2.719,1.135,78510.2969,455278,-2.71,0.5
5181309,2.0342,3.1261,9.1033,1.6124,1.6291,7.3823,77600.0859,455442.5938,-3.63,1.86
5181481,0.212,1.3511,8.1305,1.0558,2.1927,1.7849,76806.75,454304.3438,-4.32,0.46
5181492,2.7063,1.2119,6.6203,1.0447,2.0318,0.8461,75907,453789.5,-5.27,0.79
5181591,0.7552,2.5321,4.9956,1.1033,1.6922,4.583,75398.2969,454307.4375,-5.73,1.21
5181697,2.1421,1.3053,2.0226,1.4051,3.6901,4.3632,75119.2031,450985.5938,-6.99,3.09
5181786,5.1503,1.2738,4.1473,2.456,2.348,4.6203,77036.8984,452269.1563,-4.69,1.46
5181795,2.7779,0.9243,3.5051,1.4542,2.0838,1.8483,75979.1016,452370.4063,-5.59,0.44
5181806,1.13,0.8687,4.3894,2.2159,1.9726,0.4421,75804.1484,452630.9063,-5.66,0.2
5181840,3.2328,1.091,1.6529,2.8836,2.4057,4.2612,76436.1016,452959.6875,-4.95,0.62
5181882,1.3296,0.967,2.8633,2.0666,3.236,0.2007,76966.7969,453319.0938,-4.34,0.41
5181893,1.071,1.3004,8.4606,1.0203,1.6991,1.1018,76340.6484,453535.75,-4.89,0.16
5181894,1.9868,1.0045,4.8401,1.3033,2.3003,0.4634,75755.3984,453135.9375,-5.55,0.34
5181953,3.1619,1.3426,6.927,1.5139,2.1686,2.0789,77403.75,454005.25,-3.76,0.51
5181983,1.345,1.1381,6.7026,1.4219,2.1225,0.666,77783.2969,453595.5938,-3.48,0.6
5182054,3.462,0.7113,4.8945,4.0666,3.8274,0.2966,78339.8516,454245.4063,-2.8,0.43
5182055,5.546,0.7779,5.4159,6.2491,6.17,0.5722,78845.75,454514.6563,-2.28,0.61
5182110,2.1509,0.7768,3.3086,6.7139,6.1922,1.4607,79695.7031,454606.0938,-1.43,0.49
5182144,3.457,1.0925,4.9297,4.9578,5.4608,1.2239,79417.5469,454981.4063,-1.75,0.42
5182245,5.3704,1.1636,3.7146,4.3737,5.0282,1.1924,80204.7969,455380.5938,-1.22,0.71
5182347,1.0375,1.8311,2.7573,1.7586,4.6349,1.6561,81036.5469,455934.0625,-1.37,0.32
5182449,0.3216,1.0975,2.9108,1.9922,3.7845,0.0313,82602.1016,456228.5938,-2.23,1.2
5182561,2.7788,0.8548,2.8113,3.4964,2.5531,0.8107,85038.4531,456871.4375,-4.55,0.59
5182567,1.517,0.7142,1.5712,4.2763,4.1402,0.679,83971.75,456043.3125,-3.21,0.61
5182568,0.36,4.5185,8.3484,2.2208,2.5533,5.836,84073.25,457243.9375,-3.99,0.94
5182569,3.5452,0.7722,2.4157,2.8239,2.7448,0.7641,84537.75,456521.1875,-3.94,0.9
5182664,1.3151,0.8631,1.4255,5.7515,3.6593,0.928,82549.8984,455167.25,-1.55,0.63
5182665,1.6581,1.4464,6.9622,2.2818,3.2759,2.1747,83030,455412.9375,-2.09,0.6
5182666,5.05,0.9938,5.5964,2.4818,3.341,0.2842,83471.25,455735.3438,-2.63,0.75
5182718,2.5868,0.7346,0.9308,7.2849,5.7974,1.1722,81784,454251.1875,-0.73,0.36
5182762,0.3526,0.5853,3.2819,6.0319,6.1052,0.1802,82459.75,454470.3438,-1.34,0.14
5182763,1.3367,0.6732,1.6297,6.1755,5.4268,0.8528,82176.1484,454874.5625,-1.1,0.27
5182811,3.7437,0.9958,2.3754,4.2498,5.0498,0.7261,80604.7969,454961.75,-0.65,0.64
5182812,1.367,2.0706,3.7686,2.1938,5.8019,1.3751,81309.1016,455385.5938,-0.84,0.62
5182813,1.3191,0.9081,0.8401,6.0526,4.3236,0.4762,81780.9531,454949.1875,-0.76,0.27
5182814,3.7269,0.8156,1.1422,5.3139,5.6407,0.7945,81120.5469,454567.0625,0,0.51
5182915,4.9491,0.7425,1.513,8.0894,5.1287,0.5404,80407.9531,453804.25,-1.04,0.65
5182916,4.4085,0.6984,0.7509,8.0712,3.8587,1.193,81017.2969,453945.5,-0.63,0.47
5182917,2.3601,0.8148,0.713,8,4.3385,0.8148,81329.0469,453600.5938,-0.99,0.34
5183032,1.7546,0.6467,0.7033,8.0403,4.3541,0.0521,79680.5469,454086.25,-1.52,0.18
5183033,2.0536,0.6147,1.5498,7.9139,5.0005,0.3291,79902.9531,453745.3125,-1.47,0.28
5183034,3.0398,0.6075,2.1593,8.0018,5.6173,0.1635,80135.25,453357,-1.56,0.32
5183130,2.9501,0.7746,5.9051,3.9261,3.6753,1.952,78844.8984,453544.6875,-2.49,0.36
5183131,2.0214,0.734,6.0737,4.8807,3.9061,0.1286,79186.1484,453885.9063,-2.05,0.24
5183135,3.2813,0.7395,6.1334,4.9058,3.8683,0.2342,79521.2969,453324.5625,-2.03,0.39
5183284,7.4762,0.9041,4.944,1.956,2.5335,0.7957,78477.2969,453046.75,-3.05,0.97
5183387,3.6764,0.7047,0.7929,6.5234,3.4549,1.0794,77469.8516,451250.9063,-4.93,0.74
5183396,3.2357,0.8267,2.1131,4.9036,2.9206,1.3945,77835.8516,450825.9063,-4.98,0.92
5183398,4.5648,0.7152,0.6542,4.9901,4.0111,0.7436,78242.5,450399.9375,-5.06,0.99
5183399,0.5556,0.904,0.4,0.1704,1.3943,0.6656,76778.4531,450110.3438,-6.22,1.48
5183480,3.1797,0.5773,0.0385,4.8449,3.7636,0.0688,79166.1484,451177.6563,-3.91,0.58
5183488,3.8472,0.6036,1.0894,4.5894,3.0742,0.3668,78431.6484,451757.75,-3.89,0.64
5183489,3.2916,0.5982,0.9252,3.6931,3.2453,0.2483,78901.3516,452080.75,-3.33,0.58
5183620,1.6056,0.5105,0.4,4.2401,3.5536,0.0377,80746.5,451964.75,-2.63,0.33
5183637,3.0199,0.6192,0.371,5.0051,3.1791,0.4051,79862.7031,451844.1563,-3,0.54
5183638,3.099,0.7063,3.4051,4.6673,3.6163,0.7898,80465.9531,452385.75,-2.28,0.45
5183639,2.479,0.5172,0.3,5.1454,3.7267,0.1932,80199.1016,451418.3438,-3.28,0.4
5183721,1.4675,0.9144,3.4569,7.3422,5.045,1.5036,80569.1016,452847.8438,-1.81,0.5
5183819,1.3058,0.8448,0.9849,7.5058,4.2936,0.4942,82303.2969,453791.1563,-1.41,0.29
5183822,1.6689,0.7518,1.0422,6.4047,3.9411,0.3484,81614.7031,453335.5,-1.33,0.66
5183823,2.1227,0.5488,0.9,7.3779,5.0623,2.2965,81270.3984,452117.3438,-2.45,0.32
5183824,3.3506,0.6969,5.327,5.2018,4.6122,1.4912,81650.7969,452478.25,-2.16,0.48
5183825,5.0189,0.6187,5.6945,4.7719,4.4536,0.6368,82303.0469,453033.5938,-1.94,0.56
5183826,3.5164,0.5622,2.3604,7.7673,5.1616,0.2686,82782.2031,453355.3125,-2.06,0.46
5184027,1.1124,1.93,3.8168,2.1969,6.5914,9.4385,79702.6016,449595.5,-5.17,3.12
